"","Size","MinSize","Net","Tow","Station","FinalizedWeight","Site","MaxDepth","MinDepth","Cycle.Day","DielPattern","WaterType","SalpType","Latitude_Start","Longitude_Start","Temperature","PotentialTemperature","Salinity","Density","Transmissivity","Fluorescence","Oxygen","BiomassmgCm3","DepthZone","Cycle","condensedBiomass","ID"
"C4D1_T11_N8_1","1-2","1",8,11,282,0.435575632911392,"C4D1",25,0,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,13.6,13.6,35,26.27,0.78,0.19,6.6,9.95601446654611,"Epipelagic","C4",37.5630816105638,"ST4"
"C4D1_T11_N3_02","0.2-0.5","02",3,11,282,0.037,"C4D1",300,200,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,9.4,9.3,34.55,26.71,0.26,0.04,5.6,0.209335219236209,"Mesopelagic","C4",0.209335219236209,"ST4"
"C4D1_T11_N3_05","0.5-1","05",3,11,282,0.123854367469879,"C4D1",300,200,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,9.4,9.3,34.55,26.71,0.26,0.04,5.6,0.70073192345052,"Mesopelagic","C4",0.70073192345052,"ST4"
"C4D1_T11_N3_1","1-2","1",3,11,282,0.139993322859387,"C4D1",300,200,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,9.4,9.3,34.55,26.71,0.26,0.04,5.6,0.792041430604737,"Mesopelagic","C4",5.02090127324839,"ST4"
"C4D1_T11_N2_02","0.2-0.5","02",2,11,282,0.0930436724565757,"C4D1",380,300,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,8.4,8.4,34.46,26.8,0.31,0.04,5.5,0.363807125929915,"Mesopelagic","C4",0.363807125929915,"ST4"
"C4D1_T11_N2_05","0.5-1","05",2,11,282,1.07473880771479,"C4D1",380,300,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,8.4,8.4,34.46,26.8,0.31,0.04,5.5,4.20230227845469,"Mesopelagic","C4",4.20230227845469,"ST4"
"C4D1_T11_N2_1","1-2","1",2,11,282,1.20864354704413,"C4D1",380,300,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,8.4,8.4,34.46,26.8,0.31,0.04,5.5,4.72587897182455,"Mesopelagic","C4",11.8646460248843,"ST4"
"C4D1_T11_N7_02","0.2-0.5","02",7,11,282,0.044981861575179,"C4D1",50,25,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,13,13,35.02,26.41,0.34,0.07,6.1,0.197722468462325,"Epipelagic","C4",0.197722468462325,"ST4"
"C4D1_T11_N7_05","0.5-1","05",7,11,282,0.401537681627381,"C4D1",50,25,"C4D1","Night","Subtropical","Salp",-43.4592,179.8628,13,13,35.02,26.41,0.34,0.07,6.1,1.76500079836212,"Epipelagic","C4",1.76500079836212,"ST4"
"C4D2_T12_N6_02","0.2-0.5","02",6,12,286,0.168567123287671,"C4D2",100,50,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,12.6,12.6,35,26.48,0.28,0.04,5.9,0.528423583973891,"Epipelagic","C4",0.528423583973891,"ST4"
"C4D2_T12_N6_05","0.5-1","05",6,12,286,0.173557142857143,"C4D2",100,50,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,12.6,12.6,35,26.48,0.28,0.04,5.9,0.544066278549037,"Epipelagic","C4",0.544066278549037,"ST4"
"C4D2_T12_N6_1","1-2","1",6,12,286,0.261053364269141,"C4D2",100,50,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,12.6,12.6,35,26.48,0.28,0.04,5.9,0.81834910429198,"Epipelagic","C4",2.5090678403608,"ST4"
"C4D2_T12_N5_02","0.2-0.5","02",5,12,286,0.207869377990431,"C4D2",150,100,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,11.8,11.8,34.88,26.54,0.27,0.04,5.5,0.395188931540743,"Epipelagic","C4",0.395188931540743,"ST4"
"C4D2_T12_N5_05","0.5-1","05",5,12,286,0.134602696871629,"C4D2",150,100,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,11.8,11.8,34.88,26.54,0.27,0.04,5.5,0.255898663254047,"Epipelagic","C4",0.255898663254047,"ST4"
"C4D2_T12_N5_1","1-2","1",5,12,286,0.141230394431555,"C4D2",150,100,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,11.8,11.8,34.88,26.54,0.27,0.04,5.5,0.268498848729191,"Epipelagic","C4",1.07755189381044,"ST4"
"C4D2_T12_N4_02","0.2-0.5","02",4,12,286,0.139052549697493,"C4D2",200,150,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,10.6,10.6,34.7,26.62,0.27,0.04,5.5,0.650614339443179,"Epipelagic","C4",0.650614339443179,"ST4"
"C4D2_T12_N4_05","0.5-1","05",4,12,286,0.1582,"C4D2",200,150,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,10.6,10.6,34.7,26.62,0.27,0.04,5.5,0.74020353257691,"Epipelagic","C4",0.74020353257691,"ST4"
"C4D2_T12_N4_1","1-2","1",4,12,286,0.11464116575592,"C4D2",200,150,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,10.6,10.6,34.7,26.62,0.27,0.04,5.5,0.536395675545303,"Epipelagic","C4",4.70555518076385,"ST4"
"C4D2_T12_N8_02","0.2-0.5","02",8,12,286,0.131604838709677,"C4D2",25,0,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,13.6,13.6,35,26.27,0.78,0.19,6.6,0.802468528717545,"Epipelagic","C4",0.802468528717545,"ST4"
"C4D2_T12_N8_05","0.5-1","05",8,12,286,0.568290399137001,"C4D2",25,0,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,13.6,13.6,35,26.27,0.78,0.19,6.6,3.46518536059147,"Epipelagic","C4",3.46518536059147,"ST4"
"C4D2_T12_N8_1","1-2","1",8,12,286,0.365644715051145,"C4D2",25,0,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,13.6,13.6,35,26.27,0.78,0.19,6.6,2.22954094543381,"Epipelagic","C4",3.50432887350936,"ST4"
"C4D2_T12_N3_02","0.2-0.5","02",3,12,286,0.0492848605577689,"C4D2",300,200,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,9.4,9.3,34.55,26.71,0.26,0.04,5.6,0.439014457701983,"Mesopelagic","C4",0.439014457701983,"ST4"
"C4D2_T12_N3_05","0.5-1","05",3,12,286,0.0842274061990212,"C4D2",300,200,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,9.4,9.3,34.55,26.71,0.26,0.04,5.6,0.750271962578967,"Mesopelagic","C4",0.750271962578967,"ST4"
"C4D2_T12_N3_1","1-2","1",3,12,286,0.0468426035502958,"C4D2",300,200,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,9.4,9.3,34.55,26.71,0.26,0.04,5.6,0.417259579559478,"Mesopelagic","C4",3.70613213095366,"ST4"
"C4D2_T12_N2_02","0.2-0.5","02",2,12,286,0.118811714770798,"C4D2",350,300,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,8.4,8.4,34.46,26.8,0.31,0.04,5.5,0.619214148642595,"Mesopelagic","C4",0.619214148642595,"ST4"
"C4D2_T12_N2_05","0.5-1","05",2,12,286,0.608798655010087,"C4D2",350,300,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,8.4,8.4,34.46,26.8,0.31,0.04,5.5,3.17289201308189,"Mesopelagic","C4",3.17289201308189,"ST4"
"C4D2_T12_N2_1","1-2","1",2,12,286,0.399341253470845,"C4D2",350,300,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,8.4,8.4,34.46,26.8,0.31,0.04,5.5,2.08125734707932,"Mesopelagic","C4",7.3666972134563,"ST4"
"C4D2_T12_N7_02","0.2-0.5","02",7,12,286,0.145831610337972,"C4D2",50,25,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,13,13,35.02,26.41,0.34,0.07,6.1,0.933322306163022,"Epipelagic","C4",0.933322306163022,"ST4"
"C4D2_T12_N7_1","1-2","1",7,12,286,0.201922468659595,"C4D2",50,25,"C4D2","Day","Subtropical","Salp",-43.5055,-179.95,13,13,35.02,26.41,0.34,0.07,6.1,1.29230379942141,"Epipelagic","C4",2.07096659984053,"ST4"
"C5D1_T13_N6_02","0.2-0.5","02",6,13,323,0.0956962962962963,"C5D1",100,50,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,9.4,9.4,34.33,26.53,0.26,0.07,6.7,0.29399783808386,"Epipelagic","C5",0.29399783808386,"SA5"
"C5D1_T13_N6_05","0.5-1","05",6,13,323,0.329396867104598,"C5D1",100,50,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,9.4,9.4,34.33,26.53,0.26,0.07,6.7,1.01197194194961,"Epipelagic","C5",1.01197194194961,"SA5"
"C5D1_T13_N6_1","1-2","1",6,13,323,1.28505,"C5D1",100,50,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,9.4,9.4,34.33,26.53,0.26,0.07,6.7,3.94792626728111,"Epipelagic","C5",8.04263987489794,"SA5"
"C5D1_T13_N2_02","0.2-0.5","02",2,13,323,0.178419191919192,"C5D1",1000,500,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,4.9,4.8,34.25,27.1,0.2,0.04,4.8,0.281307358169794,"Mesopelagic","C5",0.281307358169794,"SA5"
"C5D1_T13_N2_05","0.5-1","05",2,13,323,0.367001892744479,"C5D1",1000,500,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,4.9,4.8,34.25,27.1,0.2,0.04,4.8,0.578639168694489,"Mesopelagic","C5",0.578639168694489,"SA5"
"C5D1_T13_N2_1","1-2","1",2,13,323,0.601614087919695,"C5D1",1000,500,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,4.9,4.8,34.25,27.1,0.2,0.04,4.8,0.948544088166646,"Mesopelagic","C5",2.69869424782537,"SA5"
"C5D1_T13_N5_02","0.2-0.5","02",5,13,323,0.083235294117647,"C5D1",200,100,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,8.1,8.1,34.38,26.78,0.22,0.04,6.2,0.27201076509035,"Epipelagic","C5",0.27201076509035,"SA5"
"C5D1_T13_N5_05","0.5-1","05",5,13,323,0.28735463800905,"C5D1",200,100,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,8.1,8.1,34.38,26.78,0.22,0.04,6.2,0.939067444474019,"Epipelagic","C5",0.939067444474019,"SA5"
"C5D1_T13_N5_1","1-2","1",5,13,323,0.113242975206612,"C5D1",200,100,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,8.1,8.1,34.38,26.78,0.22,0.04,6.2,0.370075082374548,"Epipelagic","C5",3.09927934702329,"SA5"
"C5D1_T13_N8_02","0.2-0.5","02",8,13,323,0.0833674267100977,"C5D1",25,0,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,10.9,10.9,34.31,26.25,0.29,0.06,6.7,0.287473885207234,"Epipelagic","C5",0.287473885207234,"SA5"
"C5D1_T13_N8_05","0.5-1","05",8,13,323,0.377147002606429,"C5D1",25,0,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,10.9,10.9,34.31,26.25,0.29,0.06,6.7,1.30050690553941,"Epipelagic","C5",1.30050690553941,"SA5"
"C5D1_T13_N8_1","1-2","1",8,13,323,0.41262471042471,"C5D1",25,0,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,10.9,10.9,34.31,26.25,0.29,0.06,6.7,1.42284382905073,"Epipelagic","C5",4.48830434570881,"SA5"
"C5D1_T13_N4_02","0.2-0.5","02",4,13,323,0.0192382978723404,"C5D1",300,200,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,7.7,7.7,34.39,26.84,0.21,0.04,6.1,0.0641276595744681,"Mesopelagic","C5",0.0641276595744681,"SA5"
"C5D1_T13_N4_05","0.5-1","05",4,13,323,0.0378523780413253,"C5D1",300,200,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,7.7,7.7,34.39,26.84,0.21,0.04,6.1,0.126174593471084,"Mesopelagic","C5",0.126174593471084,"SA5"
"C5D1_T13_N4_1","1-2","1",4,13,323,0.143445400593472,"C5D1",300,200,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,7.7,7.7,34.39,26.84,0.21,0.04,6.1,0.478151335311573,"Mesopelagic","C5",1.6192276478317,"SA5"
"C5D1_T13_N7_02","0.2-0.5","02",7,13,323,0.0582818831942789,"C5D1",50,25,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,10.4,10.3,34.31,26.35,0.28,0.06,6.7,0.324238571317268,"Epipelagic","C5",0.324238571317268,"SA5"
"C5D1_T13_N7_05","0.5-1","05",7,13,323,0.523205058280185,"C5D1",50,25,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,10.4,10.3,34.31,26.35,0.28,0.06,6.7,2.91073745913872,"Epipelagic","C5",2.91073745913872,"SA5"
"C5D1_T13_N7_1","1-2","1",7,13,323,1.03591355932203,"C5D1",50,25,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,10.4,10.3,34.31,26.35,0.28,0.06,6.7,5.76307960679852,"Epipelagic","C5",7.56569101106142,"SA5"
"C5D1_T13_N3_02","0.2-0.5","02",3,13,323,0.0772373702422145,"C5D1",500,300,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,6.9,6.9,34.31,26.88,0.21,0.04,5.9,0.130799949605782,"Mesopelagic","C5",0.130799949605782,"SA5"
"C5D1_T13_N3_05","0.5-1","05",3,13,323,0.153235786435786,"C5D1",500,300,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,6.9,6.9,34.31,26.88,0.21,0.04,5.9,0.259501755183381,"Mesopelagic","C5",0.259501755183381,"SA5"
"C5D1_T13_N3_1","1-2","1",3,13,323,0.58158,"C5D1",500,300,"C5D1","Night","Subantarctic","Non-Salp",-45.6668,179.6033,6.9,6.9,34.31,26.88,0.21,0.04,5.9,0.98489415749365,"Mesopelagic","C5",1.93568491282201,"SA5"
"C5D2_T15_N6_02","0.2-0.5","02",6,15,345,0.0265158512720157,"C5D2",100,50,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,9.3,9.3,34.35,26.56,0.27,0.07,6.6,0.064047949932405,"Epipelagic","C5",0.064047949932405,"SA5"
"C5D2_T15_N6_05","0.5-1","05",6,15,345,0.140628767123288,"C5D2",100,50,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,9.3,9.3,34.35,26.56,0.27,0.07,6.6,0.339683012375091,"Epipelagic","C5",0.339683012375091,"SA5"
"C5D2_T15_N6_1","1-2","1",6,15,345,0.0686319327731093,"C5D2",100,50,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,9.3,9.3,34.35,26.56,0.27,0.07,6.6,0.165777615393984,"Epipelagic","C5",1.15715592403147,"SA5"
"C5D2_T15_N2_02","0.2-0.5","02",2,15,345,0.128723214285714,"C5D2",1000,500,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,4.7,4.6,34.25,27.12,0.21,0.04,4.7,0.201839614716918,"Mesopelagic","C5",0.201839614716918,"SA5"
"C5D2_T15_N2_05","0.5-1","05",2,15,345,0.351426436781609,"C5D2",1000,500,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,4.7,4.6,34.25,27.12,0.21,0.04,4.7,0.551041061202053,"Mesopelagic","C5",0.551041061202053,"SA5"
"C5D2_T15_N5_02","0.2-0.5","02",5,15,345,0.131778217821782,"C5D2",200,100,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,8.3,8.2,34.36,26.74,0.23,0.05,6.4,0.396922342836693,"Epipelagic","C5",0.396922342836693,"SA5"
"C5D2_T15_N5_05","0.5-1","05",5,15,345,0.167995479345284,"C5D2",200,100,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,8.3,8.2,34.36,26.74,0.23,0.05,6.4,0.506010479955676,"Epipelagic","C5",0.506010479955676,"SA5"
"C5D2_T15_N5_1","1-2","1",5,15,345,0.0727543624161074,"C5D2",200,100,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,8.3,8.2,34.36,26.74,0.23,0.05,6.4,0.219139645831649,"Epipelagic","C5",1.11211546281698,"SA5"
"C5D2_T15_N8_05","0.5-1","05",8,15,345,0.123114828897338,"C5D2",25,0,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,11.2,11.2,34.34,26.23,0.36,0.06,6.7,0.400634002269243,"Epipelagic","C5",0.400634002269243,"SA5"
"C5D2_T15_N8_1","1-2","1",8,15,345,0.200474151150055,"C5D2",25,0,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,11.2,11.2,34.34,26.23,0.36,0.06,6.7,0.652372766514984,"Epipelagic","C5",1.40547639259733,"SA5"
"C5D2_T15_N4_02","0.2-0.5","02",4,15,345,0.0875161412358134,"C5D2",300,200,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,7.8,7.8,34.39,26.83,0.21,0.04,6.1,0.223540590640647,"Mesopelagic","C5",0.223540590640647,"SA5"
"C5D2_T15_N4_1","1-2","1",4,15,345,0.119595185694636,"C5D2",300,200,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,7.8,7.8,34.39,26.83,0.21,0.04,6.1,0.305479401518865,"Mesopelagic","C5",1.40025811284733,"SA5"
"C5D2_T15_N7_02","0.2-0.5","02",7,15,345,0.0580679849340866,"C5D2",50,25,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,10.5,10.4,34.33,26.35,0.33,0.07,6.8,0.185402250747403,"Epipelagic","C5",0.185402250747403,"SA5"
"C5D2_T15_N7_05","0.5-1","05",7,15,345,0.186388512349225,"C5D2",50,25,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,10.5,10.4,34.33,26.35,0.33,0.07,6.8,0.595110192685902,"Epipelagic","C5",0.595110192685902,"SA5"
"C5D2_T15_N3_02","0.2-0.5","02",3,15,345,0.080625,"C5D2",500,300,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,7.1,7.1,34.32,26.88,0.21,0.04,5.9,0.177509907529723,"Mesopelagic","C5",0.177509907529723,"SA5"
"C5D2_T15_N3_05","0.5-1","05",3,15,345,0.135365638148668,"C5D2",500,300,"C5D2","Day","Subantarctic","Non-Salp",-45.5123,179.612,7.1,7.1,34.32,26.88,0.21,0.04,5.9,0.298030907416705,"Mesopelagic","C5",0.298030907416705,"SA5"
